DATE,PCAGDPNGA646NWDB
1960-01-01,93.397047715008
1961-01-01,97.420968283806
1962-01-01,104.852749314777
1963-01-01,108.015741558424
1964-01-01,113.658375312078
1965-01-01,117.665370767225
1966-01-01,124.791856425784
1967-01-01,99.8574044411854
1968-01-01,97.7445271190022
1969-01-01,122.042417484547
1970-01-01,225.773999482196
1971-01-01,161.54390139432
1972-01-01,210.995479819975
1973-01-01,254.387347208655
1974-01-01,406.27014210347
1975-01-01,441.978595843748
1976-01-01,561.550099917249
1977-01-01,541.156246046355
1978-01-01,532.217433682282
1979-01-01,667.98172189236
1980-01-01,880.061983734212
1981-01-01,2187.88643570187
1982-01-01,1844.84984376437
1983-01-01,1223.60392131354
1984-01-01,903.449351635753
1985-01-01,882.282702701047
1986-01-01,638.731695673269
1987-01-01,598.290968728108
1988-01-01,549.503755599888
1989-01-01,474.456900103068
1990-01-01,567.517902154176
1991-01-01,609.373128300476
1992-01-01,519.635847459547
1993-01-01,551.892919214456
1994-01-01,762.398733247892
1995-01-01,1302.55005158505
1996-01-01,1673.90614635689
1997-01-01,1765.07876843445
1998-01-01,1871.75605670825
1999-01-01,494.129227253689
2000-01-01,563.047086217561
2001-01-01,583.085838768235
2002-01-01,733.537888694616
2003-01-01,786.802214827723
2004-01-01,992.74539908679
2005-01-01,1250.40691277354
2006-01-01,1652.15400173092
2007-01-01,1876.41303262801
2008-01-01,2227.79034922679
2009-01-01,1883.88778309689
2010-01-01,2280.11128904338
2011-01-01,2504.87910104512
2012-01-01,2728.02278831129
2013-01-01,2976.75683168398
2014-01-01,3200.95279935925
2015-01-01,2679.5542234874
2016-01-01,2144.78034442697
2017-01-01,1941.87947889475
2018-01-01,2125.83449073877
2019-01-01,2334.02364318105
2020-01-01,2074.61374667422
2021-01-01,2065.77441035114
2022-01-01,2162.63373428577
