Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
NGA,2006-02-01,2006-02-28,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2006,2006,,37.727526,A,base year is 2015
NGA,2007-02-01,2007-02-28,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2007,2007,,39.024867,A,base year is 2015
NGA,2008-02-01,2008-02-29,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2008,2008,,42.469622,A,base year is 2015
NGA,2009-02-01,2009-02-28,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2009,2009,,50.829105,A,base year is 2015
NGA,2010-02-01,2010-02-28,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2010,2010,,59.378856,A,base year is 2015
NGA,2011-02-01,2011-02-28,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2011,2011,,66.422916,A,base year is 2015
NGA,2012-02-01,2012-02-29,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2012,2012,,72.703569,A,base year is 2015
NGA,2013-02-01,2013-02-28,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2013,2013,,80.529791,A,base year is 2015
NGA,2014-02-01,2014-02-28,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2014,2014,,87.912753,A,base year is 2015
NGA,2015-02-01,2015-02-28,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2015,2015,,96.114259,A,base year is 2015
NGA,2016-02-01,2016-02-29,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2016,2016,,106.959756,A,base year is 2015
