"Rate Date","Rate Type","Range","Weighted Average"
"2/29/2024","OBB Rate","19.00 - 29.00","25.13",
"2/28/2024","OBB Rate","18.00 - 28.75","20.93",
"2/27/2024","OBB Rate","18.00 - 30.00","26.89",
"2/26/2024","OBB Rate","17.50 - 28.00","22.39",
"2/23/2024","OBB Rate","22.00 - 38.00","25.40",
"2/22/2024","Call Rate","15.75 - 15.75","15.75",
"2/22/2024","OBB Rate","23.00 - 50.00","31.26",
"2/21/2024","OBB Rate","16.00 - 25.00","24.69",
"2/20/2024","OBB Rate","16.00 - 25.00","22.23",
"2/19/2024","Call Rate","15.75 - 15.75","15.75",
"2/19/2024","OBB Rate","15.00 - 24.00","17.16",
"2/16/2024","Call Rate","17.00 - 17.00","17.00",
"2/16/2024","OBB Rate","13.00 - 22.00","17.74",
"2/15/2024","OBB Rate","10.00 - 24.75","13.92",
"2/14/2024","8-35 Days","15.75 - 15.75","15.75",
"2/14/2024","OBB Rate","10.00 - 18.00","15.13",
"2/13/2024","OBB Rate","14.00 - 16.50","15.64",
"2/12/2024","OBB Rate","15.00 - 16.50","15.77",
"2/9/2024","8-35 Days","17.00 - 17.00","17.00",
"2/9/2024","OBB Rate","15.00 - 27.00","17.33",
"2/8/2024","Call Rate","24.75 - 24.75","24.75",
"2/8/2024","OBB Rate","20.00 - 30.00","24.23",
"2/7/2024","OBB Rate","13.00-22.00","17.76",
"2/6/2024","OBB Rate","15.00-18.00","16.75",
"2/5/2024","OBB Rate","19.00 - 23.00","21.09",
"2/2/2024","OBB Rate","20.00 - 24.75","23.65",
"2/1/2024","Call Rate","23.00 - 23.00","23.00",
"2/1/2024","OBB Rate","18.00 - 24.75","22.68",
"1/31/2024","8-35 Days","20.00 - 20.00","20.00",
"1/31/2024","OBB Rate","10.00 - 26.75","22.21",
"1/30/2024","Call Rate","15.00 - 20.00","17.40",
"1/30/2024","OBB Rate","10.00 - 15.75","14.67",
"1/29/2024","Call Rate","14.00 - 14.00","14.00",
"1/29/2024","OBB Rate","10.00 - 23.00","16.14",
"1/26/2024","OBB Rate","13.00 - 23.00","17.47",
"1/25/2024","Call Rate","22.00 - 23.00","22.62",
"1/25/2024","8-35 Days","17.00 - 17.00","17.00",
"1/25/2024","OBB Rate","15.75 - 24.00","20.68",
"1/24/2024","OBB Rate","15.00 - 22.00","18.25",
"1/23/2024","Call Rate","21.00 - 21.00","21.00",
"1/23/2024","OBB Rate","17.00 - 24.50","20.86",
"1/22/2024","OBB Rate","17.00 - 24.00","20.22",
"1/19/2024","OBB Rate","16.00-25.00","21.55",
"1/18/2024","Call Rate","19.50 - 19.50","19.50",
