"Rate Date","Rate Type","Range","Weighted Average"
"8/27/2012","Call Rate","11.0000 - 14.0000","12.9000",
"8/27/2012","OBB Rate","11.5000 - 13.0000","11.9800",
"8/24/2012","OBB Rate","10.2500 - 13.0000","10.5400",
"8/24/2012","Call Rate","11.0000 - 19.0000","11.2600",
"8/24/2012","7-Day","15.5000 - 15.5000","15.5000",
"8/23/2012","Call Rate","11.0000 - 17.0000","11.9200",
"8/23/2012","OBB Rate","10.5000 - 13.0000","11.7500",
"8/22/2012","Call Rate","10.5000 - 14.0000","12.7100",
"8/22/2012","OBB Rate","11.5000 - 15.5000","12.4600",
"8/17/2012","Call Rate","11.0000 - 31.0000","15.8200",
"8/17/2012","OBB Rate","11.0000 - 24.5000","14.2400",
"8/16/2012","Call Rate","12.0000 - 23.5000","19.3000",
"8/16/2012","OBB Rate","14.0000 - 20.0000","17.6200",
"8/15/2012","Call Rate","15.0000 - 30.0000","22.5700",
"8/14/2012","Call Rate","14.0000 - 22.0000","18.4700",
"8/14/2012","OBB Rate","14.0000 - 24.0000","17.8000",
"8/13/2012","Call Rate","15.0000 - 28.0000","19.4000",
"8/10/2012","Call Rate","14.0000 - 23.0000","18.6900",
"8/9/2012","Call Rate","14.0000 - 30.0000","18.1800",
"8/8/2012","Call Rate","20.0000 - 40.0000","34.1900",
"8/8/2012","OBB Rate","25.0000 - 34.0000","29.4300",
"8/7/2012","Call Rate","18.0000 - 26.0000","23.3600",
"8/7/2012","OBB Rate","20.0000 - 25.0000","22.2600",
"8/6/2012","30-Day","19.0000 - 19.0000","19.0000",
"8/6/2012","Call Rate","11.0000 - 22.5000","20.5900",
"8/6/2012","OBB Rate","14.7500 - 20.0000","16.3900",
"8/3/2012","Call Rate","14.0000 - 19.5000","17.6500",
"8/3/2012","OBB Rate","15.0000 - 18.0000","16.4900",
"8/2/2012","OBB Rate","14.0000 - 18.0000","16.2800",
"8/2/2012","Call Rate","14.5000 - 19.0000","17.0500",
"8/1/2012","Call Rate","15.5000 - 18.2500","17.1500",
"8/1/2012","OBB Rate","14.5000 - 18.0000","16.4300",
"7/31/2012","7-Day","17.0000 - 17.0000","17.0000",
"7/31/2012","Call Rate","13.0000 - 17.5000","15.8800",
"7/31/2012","OBB Rate","14.0000 - 15.5000","14.7600",
"7/30/2012","Call Rate","14.0000 - 16.2500","14.6100",
"7/30/2012","OBB Rate","13.3000 - 14.5000","14.2100",
"7/27/2012","7-Day","16.5000 - 16.5000","16.5000",
"7/27/2012","Call Rate","12.7500 - 14.5000","13.8500",
"7/27/2012","OBB Rate","12.7500 - 14.0000","13.1700",
"7/26/2012","30-Day","14.0000 - 16.7500","14.3900",
"7/26/2012","Call Rate","13.0000 - 16.0000","14.1500",
"7/26/2012","OBB Rate","13.5000 - 14.5000","14.1500",
"7/25/2012","Call Rate","16.7500 - 19.0000","17.8500",
"7/25/2012","OBB Rate","0.0000 - 0.0000","0.0000",
"7/24/2012","Call Rate","14.7500 - 18.0000","15.6900",
"7/24/2012","OBB Rate","14.0000 - 15.5000","14.9900",
"7/23/2012","7-Day","15.2500 - 15.2500","15.2500",
"7/23/2012","Call Rate","14.5000 - 17.0000","15.3700",
"7/23/2012","OBB Rate","14.0000 - 14.7500","14.6100",
"7/19/2012","Call Rate","14.0000 - 14.7500","14.4300",
"7/19/2012","OBB Rate","14.0000 - 14.5000","14.0400",
"7/18/2012","Call Rate","14.7500 - 15.7500","15.2600",
"7/18/2012","OBB Rate","14.0000 - 14.7500","14.6700",
"7/17/2012","Call Rate","14.0000 - 15.2500","14.7100",
"7/17/2012","OBB Rate","14.0000 - 15.0000","14.4100",
"7/16/2012","Call Rate","13.7500 - 15.000","14.3800",
"7/16/2012","OBB Rate","14.0000 - 14.7500","14.3100",
"7/13/2012","180-Day","13.5000 - 14.5000","13.9600",
"7/13/2012","Call Rate","14.0000 - 15.2500","14.6400",
"7/12/2012","Call Rate","13.5000 - 16.0000","14.7500",
"7/12/2012","OBB Rate","14.0000 - 14.7500","14.4100",
"7/11/2012","Call Rate","14.7500 - 17.0000","15.8700",
"7/11/2012","OBB Rate","15.5000 - 15.7500","15.5900",
"7/10/2012","Call Rate","14.0000 - 16.2000","15.5500",
"7/10/2012","OBB Rate","15.5000 - 15.5000","15.5000",
"7/9/2012","Call Rate","15.0000 - 16.5000","15.67000",
"7/9/2012","OBB Rate","14.4000 - 15.5000","15.1200",
"7/6/2012","Call Rate","14.5000 - 16.5000","15.7000",
"7/6/2012","OBB Rate","14.5000 - 15.2500","14.8500",
"7/5/2012","Call Rate","14.0000 - 16.5000","15.5400",
"7/5/2012","OBB Rate","14.0000 - 15.2500","14.6900",
"7/4/2012","7-Day","15.0000 - 15.0000","15.0000",
"7/4/2012","Call Rate","14.0000 - 16.5000","14.8400",
"7/4/2012","OBB Rate","14.0000 - 15.2500","14.4600",
"7/3/2012","Call Rate","14.0000 - 16.5000","15.5500",
"7/3/2012","OBB Rate","14.7500 - 15.2500","14.9800",
"7/2/2012","Call Rate","14.0000-15.7500","15.1800",
"7/2/2012","OBB Rate","14.0000-15.0000","14.3900",
"6/29/2012","Call Rate","14.0000-16.2500","15.2600",
"6/29/2012","OBB Rate","13.7500-15.2000","14.4600",
"6/28/2012","Call Rate","14.0000-14.7500","14.3100",
"6/28/2012","OBB Rate","14.0000-14.7500","14.6100",
"6/27/2012","Call Rate","14.5000 - 16.2500","15.1400",
"6/27/2012","OBB Rate","14.0000 - 15.0000","14.5200",
"6/26/2012","Call Rate","14.0000 - 16.5000","15.7700",
"6/26/2012","OBB Rate","14.0000 - 15.5000","14.9600",
"6/25/2012","Call Rate","14.0000 - 16.2500","15.4200",
"6/25/2012","OBB Rate","14.000 - 15.5000","14.6600",
"6/22/2012","7-Day","14.0000 - 14.0000","14.0000",
"6/22/2012","Call Rate","15.0000 - 16.5000","15.7900",
"6/22/2012","OBB Rate","14.7500 - 15.7500","15.0400",
"6/21/2012","Call Rate","14.0000-16.0000","14.6700",
"6/21/2012","OBB Rate","14.0000-14.5000","14.2600",
"6/20/2012","Call Rate","15.0000-17.0000","16.2700",
"6/20/2012","OBB Rate","15.0000-16.2500","16.1200",
"6/19/2012","Call Rate","14.0000-16.0000","15.2100",
"6/19/2012","OBB Rate","14.5000-15.5000","15.2000",
"6/18/2012","Call Rate","14.7500-15.5000","15.2000",
"6/18/2012","OBB Rate","14.6000-15.2500","15.0300",
"6/15/2012","Call Rate","14.5000-16.2500","15.4700",
"6/15/2012","OBB Rate","14.5000-15.7500","15.2700",
"6/14/2012","Call Rate","14.0000-15.7500","15.3400",
"6/14/2012","OBB Rate","15.0000-15.7500","15.1500",
"6/13/2012","Call Rate","14.7500-16.0000","15.4800",
"6/13/2012","OBB Rate","15.0000-16.0000","15.5800",
"6/12/2012","Call Rate","14.0000-15.2500","14.8100",
"6/12/2012","OBB Rate","13.9000-14.5000","14.1000",
"6/11/2012","Call Rate","14.0000-15.2500","14.5700",
"6/11/2012","OBB Rate","14.0000-15.2500","14.6400",
"6/8/2012","Call Rate","14.0000-14.5000","14.1800",
"6/8/2012","OBB Rate","14.1000-15.1500","14.5500",
"6/7/2012","Call Rate","14.0000-14.5000","14.2000",
"6/7/2012","OBB Rate","13.7500-14.0000","13.9800",
"6/6/2012","Call Rate","14.0000 - 15.5000","14.9900",
"6/6/2012","OBB Rate","14.4000 - 15.0000","14.6100",
"6/5/2012","Call Rate","13.5000 - 14.5000","14.13000",
"6/5/2012","OBB Rate","13.7500 - 14.2500","14.0100",
"6/4/2012","Call Rate","14.0000 - 14.5000","14.2200",
"6/4/2012","OBB Rate","13.7500 - 14.3500","14.0700",
"6/1/2012","Call Rate","13.7500 - 14.5000","12.1800",
"6/1/2012","OBB Rate","13.5000 - 14.5000","14.0200",
"5/31/2012","30-Day","12.0000 - 14.2500","12.9500",
"5/31/2012","Call Rate","10.5000 - 13.0000","12.1800",
"5/31/2012","OBB Rate","11.0000 - 13.0000","12.1800",
"5/30/2012","Call Rate","10.2500 - 10.7500","10.4100",
"5/30/2012","OBB Rate","10.2000 - 10.5000","10.3600",
"5/28/2012","Call Rate","10.1500 - 10.7500","10.3200",
"5/28/2012","OBB Rate","10.1500 - 10.2500","10.2100",
"5/25/2012","30-Day","12.0000 - 12.0000","12.0000",
"5/25/2012","7-Day","12.0000 - 12.0000","12.0000",
"5/25/2012","Call Rate","10.1500 - 14.000","11.5700",
"5/25/2012","OBB Rate","10.2500 - 10.7500","10.4500",
"5/24/2012","Call Rate","10.0000 - 12.0000","11.2900",
"5/24/2012","OBB Rate","10.7500 - 11.7500","10.9100",
"5/23/2012","Call Rate","12.0000 - 13.5000","12.8200",
"5/23/2012","OBB Rate","11.2500 - 13.0000","12.6800",
"5/22/2012","Call Rate","12.0000 - 13.2500","12.6900",
"5/22/2012","OBB Rate","12.0000 - 14.0000","12.5300",
"5/21/2012","Call Rate","14.0000 - 15.5000","14.6100",
"5/21/2012","OBB Rate","14.0000 - 14.5000","14.4300",
"5/18/2012","Call Rate","14.0000 - 15.2500","14.7100",
"5/18/2012","OBB Rate","14.0000 - 14.7500","14.5700",
"5/17/2012","Call Rate","13.5000 - 15.5000","14.6600",
"5/17/2012","OBB Rate","14.0000 -14.7500","14.3400",
"5/16/2012","Call Rate","14.5000 - 15.0000","15.0400",
"5/16/2012","OBB Rate","14.0000 - 14.7500","14.6300",
"5/15/2012","Call Rate","14.0000 - 14.7500","14.4000",
"5/15/2012","OBB Rate","14.0000 -14.0000","14.0000",
"5/14/2012","Call Rate","14.0000 - 14.5000","14.2200",
"5/14/2012","OBB Rate","14.0000 - 14.0000","14.0000",
"5/11/2012","Call Rate","14.0000 -14.2500","14.1000",
"5/11/2012","OBB Rate","14.0000 - 14.0000","14.0000",
"5/10/2012","Call Rate","13.7500 - 14.5000","14.1000",
"5/10/2012","OBB Rate","12.9400 - 14.1000","13.7700",
"5/9/2012","Call Rate","14.0000 - 14.5000","14.2100",
"5/9/2012","OBB Rate","13.7500 - 14.000","13.9900",
"5/8/2012","Call Rate","14.0000 - 14.5000","14.2000",
"5/8/2012","OBB Rate","13.5300 - 14.0000","14.0000",
"5/7/2012","Call Rate","14.0000 - 15.0000","14.1400",
"5/7/2012","OBB Rate","13.2500 - 14.0000","13.9600",
"5/4/2012","Call Rate","13.2500 - 14.5000","13.9100",
"5/4/2012","OBB Rate","12.0000 - 14.2400","13.5500",
"5/3/2012","Call Rate","11.0000 - 13.5000","12.5300",
"5/3/2012","OBB Rate","11.5000 - 12.7500","12.0000",
"5/2/2012","Call Rate","12.75000 - 15.0000","14.2100",
"5/2/2012","OBB Rate","13.7500 - 14.2500","13.9400",
"4/30/2012","Call Rate","12.5000 - 13.5000","13.0600",
"4/30/2012","OBB Rate","12.0000 - 12.7500","12.4700",
"4/27/2012","Call Rate","11.5000 - 14.0000","12.2500",
"4/27/2012","OBB Rate","11.0000 - 12.5000","11.2900",
"4/26/2012","7-Day","14.0000 - 14.0000","14.0000",
"4/26/2012","Call Rate","13.2500 - 16.0000","14.2100",
"4/26/2012","OBB Rate","13.0000 - 14.2500","13.5400",
"4/25/2012","7-Day","14.0000 - 14.0000","14.0000",
"4/25/2012","Call Rate","13.0000 - 14.8500","14.3100",
"4/25/2012","OBB Rate","13.000 0 - 14.7500","14.2300",
"4/24/2012","Call Rate","14.0000 - 14.7500","14.2200",
"4/24/2012","OBB Rate","14.0000 - 14.0000","14.0000",
"4/23/2012","Call Rate","14.0000 - 15.0000","14.6100",
"4/23/2012","OBB Rate","14.0000 - 14.5000","14.1400",
"4/20/2012","Call Rate","13.5000 - 14.5000","14.3900",
"4/20/2012","OBB Rate","14.0000 - 14.0000","14.0000",
"4/19/2012","Call Rate","14.0000 - 15.5000","14.5300",
"4/19/2012","OBB Rate","13.7500 - 15.0000","14.0900",
"4/18/2012","Call Rate","14.0000 - 16.0000","15.3000",
"4/18/2012","OBB Rate","14.0000 - 15.2500","14.9300",
"4/17/2012","Call Rate","13.7500 - 15.0000","14.6500",
"4/17/2012","OBB Rate","14.0000 - 14.7500","14.2400",
"4/16/2012","Call Rate","14.0000 - 14.7500","14.4200",
"4/16/2012","OBB Rate","13.5000 - 14.5000","14.0000",
"4/13/2012","Call Rate","13.7500 - 14.5000","14.2900",
"4/13/2012","OBB Rate","13.5000 - 14.5000","14.0000",
"4/12/2012","Call Rate","13.25000 - 14.2500","13.8900",
"4/12/2012","OBB Rate","13.0000 - 13.8500","13.5600",
"4/11/2012","Call Rate","12.5000 - 13.5000","13.2100",
"4/11/2012","OBB Rate","12.5000 - 13.2500","12.8500",
"4/10/2012","OBB Rate","12.5000 - 13.2500","12.9100",
"4/5/2012","30-Day","14.0000 - 14.0000","14.0000",
"4/5/2012","7-Day","14.0000 - 15.5000","14.4800",
"4/5/2012","Call Rate","13.7500 - 15.5000","14.3000",
"4/5/2012","OBB Rate","14.0000 - 14.5000","14.1400",
"4/4/2012","Call Rate","14.0000 - 15.5000","15.0400",
"4/4/2012","OBB Rate","14.0000 - 15.0000","14.5100",
"4/3/2012","Call Rate","14.0000 - 15.5000","15.0100",
"4/3/2012","OBB Rate","14.0000 - 15.0000","14.2300",
"4/2/2012","Call Rate","14.0000 - 15.5000","14.5100",
"4/2/2012","OBB Rate","14.0000 - 14.5000","14.1900",
"3/30/2012","Call Rate","13.5000 - 15.7500","15.2700",
"3/30/2012","OBB Rate","14.0000 - 15.4100","14.7400",
"3/29/2012","Call Rate","14.0000 - 15.5000","14.9800",
"3/29/2012","OBB Rate","14.0000 - 14.5000","14.2200",
"3/28/2012","Call Rate","14.0000 - 15.5000","14.8100",
"3/28/2012","OBB Rate","14.0000 - 14.5000","14.3700",
"3/27/2012","7-Day","14.5000 - 14.5000","14.5000",
"3/27/2012","Call Rate","13.0000 - 14.5000","14.1900",
"3/27/2012","OBB Rate","13.7500 - 14.5000","13.9500",
"3/26/2012","7-Day","14.5000 - 14.5000","14.5000",
"3/26/2012","Call Rate","13.0000 - 14.5000","13.9600",
"3/26/2012","OBB Rate","13.7500 - 14.5000","13.8700",
"3/23/2012","Call Rate","12.0000 - 13.2500","12.8500",
"3/23/2012","OBB Rate","12.0000 - 13.0000","12.3600",
"3/22/2012","Call Rate","11.0000 - 14.0000","12.3200",
"3/22/2012","OBB Rate","11.0000 - 14.3500","11.8200",
"3/21/2012","Call Rate","14.0000 - 15.7500","14.9300",
"3/21/2012","OBB Rate","14.0000 - 14.5000","14.2600",
"3/20/2012","Call Rate","14.0000 - 15.5000","14.7300",
"3/20/2012","OBB Rate","14.0000 - 14.5000","14.2400",
"3/19/2012","Call Rate","14.5000 - 15.7500","15.4200",
"3/19/2012","OBB Rate","14.0000 - 14.5000","14.0000",
"3/16/2012","30-Day","15.2500 - 15.2500","15.2500",
"3/16/2012","Call Rate","14.5000 - 15.7500","15.3500",
"3/16/2012","OBB Rate","14.5000 - 14.5000","14.5000",
"3/15/2012","Call Rate","14.2500 - 15.5000","14.9400",
"3/15/2012","OBB Rate","14.0000 - 14.5000","14.3000",
"3/14/2012","7-Day","15.0000 - 15.0000","15.0000",
"3/14/2012","Call Rate","14.0000 - 15.2500","14.6600",
"3/14/2012","OBB Rate","14.0000 - 14.5000","14.3000",
"3/13/2012","Call Rate","13.5000 - 14.5000","14.1800",
"3/13/2012","OBB Rate","14.0000 - 14.2500","14.0100",
"3/12/2012","Call Rate","14.0000 - 14.5000","14.1500",
"3/12/2012","OBB Rate","14.0000 - 14.4500","14.1900",
"3/9/2012","Call Rate","13.5000 - 14.2500","14.1000",
"3/9/2012","OBB Rate","13.7500 - 14.2500","13.9400",
"3/8/2012","Call Rate","13.5000 - 14.0000","13.9700",
"3/8/2012","OBB Rate","13.5000 - 14.5000","13.6200",
"3/7/2012","Call Rate","13.0000 - 15.2500","13.9700",
"3/7/2012","OBB Rate","12.5000 - 14.5000","13.76000",
"3/6/2012","Call Rate","13.5000 - 15.5000","14.3800",
"3/6/2012","OBB Rate","14.0000 - 14.5000","14.2300",
"3/5/2012","Call Rate","14.000 - 15.5000","14.9000",
"3/5/2012","OBB Rate","14.0000 - 14.5000","14.1700",
"3/2/2012","Call Rate","13.7500 - 14.5000","14.2500",
"3/2/2012","OBB Rate","13.5000 - 14.5000","13.9300",
"3/1/2012","Call Rate","12.0000 - 13.5000","12.9900",
"3/1/2012","OBB Rate","12.000 - 14.5000","13.0700",
"2/29/2012","Call Rate","11.2500 - 13.7500","13.0600",
"2/29/2012","OBB Rate","12.5000 - 13.5000","12.8200",
"2/28/2012","180-Day","18.5000 - 18.5000","18.5000",
"2/28/2012","90-Day","17.0000 - 17.0000","17.0000",
"2/28/2012","Call Rate","10.0000 - 16.0000","13.8700",
"2/28/2012","OBB Rate","12.5000 - 13.5000","12.7800",
"2/27/2012","Call Rate","12.5000 - 13.7500","13.2200",
"2/27/2012","OBB Rate","12.0000 - 14.5000","12.9300",
"2/24/2012","Call Rate","13.7500 - 16.5000","15.0000",
"2/24/2012","OBB Rate","13.0000 - 14.5000","14.0400",
"2/23/2012","Call Rate","10.0000 - 16.5000","14.2500",
"2/23/2012","OBB Rate","14.000 - 14.5000","14.2300",
"2/22/2012","Call Rate","14.0000 - 16.7500","15.9700",
"2/22/2012","OBB Rate","10.0000 - 14.2500","13.9700",
"2/21/2012","Call Rate","14.0000 - 16.5000","15.6200",
"2/21/2012","OBB Rate","12.6500 - 14.5000","14.2500",
"2/20/2012","Call Rate","14.0000 - 15.2500","14.6000",
"2/20/2012","OBB Rate","14.0000 - 14.5000","14.1000",
"2/17/2012","Call Rate","13.5000 - 16.0000","15.2800",
"2/17/2012","OBB Rate","13.5000 - 14.5000","13.8200",
"2/16/2012","Call Rate","13.5000 - 15.0000","14.1100",
"2/16/2012","OBB Rate","11.0000 - 14.0000","13.7100",
"2/15/2012","Call Rate","14.0000 - 15.2500","14.9000",
"2/15/2012","OBB Rate","13.7500 - 14.5000","14.1400",
"2/14/2012","Call Rate","14.0000 - 15.2500","14.3500",
"2/14/2012","OBB Rate","13.7500 - 14.5000","13.9600",
"2/13/2012","Call Rate","14.0000 - 15.5000","14.9000",
"2/13/2012","OBB Rate","14.0000 - 15.0000","14.2500",
"2/10/2012","Call Rate","14.2500 - 15.0000","14.8000",
"2/10/2012","OBB Rate","11.0000 - 14.5000","13.7800",
"2/9/2012","Call Rate","13.5000 - 14.7500","14.2200",
"2/9/2012","OBB Rate","14.0000 - 14.0000","14.0000",
"2/8/2012","Call Rate","13.5000 - 14.5000","14.0600",
"2/8/2012","OBB Rate","12.5000 - 15.0000","14.0100",
"2/3/2012","Call Rate","12.5000 - 14.5000","13.1800",
"2/3/2012","OBB Rate","12.5000 - 14.0000","12.6700",
"2/2/2012","Call Rate","12.0000 - 13.5000","12.7700",
"2/2/2012","OBB Rate","11.0000 - 13.0000","12.4700",
"2/1/2012","Call Rate","12.2500 - 13.7500","13.2600",
"2/1/2012","OBB Rate","12.5000 - 13.2500","12.9000",
"1/31/2012","Call Rate","12.5000 - 14.0000","13.3800",
"1/31/2012","OBB Rate","12.5000 - 13.0000","12.9300",
"1/30/2012","Call Rate","14.0000 - 15.7500","14.8000",
"1/30/2012","OBB Rate","14.0000 - 15.0000","14.1800",
"1/27/2012","Call Rate","14.5000 - 16.5000","15.7000",
"1/27/2012","OBB Rate","14.2500 - 16.0000","14.7500",
"1/26/2012","Call Rate","14.000 - 16.2500","15.6700",
"1/26/2012","OBB Rate","14.0000 - 16.0000","14.4000",
"1/25/2012","Call Rate","14.5000 - 16.5000","15.8300",
"1/25/2012","OBB Rate","13.5000 - 16.2500","15.0800",
"1/24/2012","Call Rate","14.000 - 15.0000","14.5200",
"1/24/2012","OBB Rate","14.0000 - 14.5000","14.1200",
"1/18/2012","Call Rate","13.5000 - 14.5000","14.1400",
"1/18/2012","OBB Rate","13.0000 - 14.5000","13.9100",
"1/17/2012","Call Rate","13.0000 - 14.2500","13.4000",
"1/17/2012","OBB Rate","13.0000 - 13.5000","13.0800",
"1/6/2012","Call Rate","13.0000 - 15.5000","13.3000",
"1/6/2012","OBB Rate","12.5000 - 14.0000","13.0800",
"1/4/2012","Call Rate","12.7500 - 13.7500","13.3200",
"1/4/2012","OBB Rate","12.5000 - 13.5000","13.0400",
"1/3/2012","Call Rate","12.0000 - 14.0000","13.0800",
"1/3/2012","OBB Rate","13.0000 - 14.0000","19.7100",
"12/30/2011","Call Rate","13.0000 - 14.2500","13.8800",
"12/30/2011","OBB Rate","13.2500 - 14.0000","13.5100",
"12/29/2011","Call Rate","13.5000 - 14.5000","13.9700",
"12/29/2011","OBB Rate","13.7500 - 14.0000","13.7700",
"12/28/2011","OBB Rate","13.7500 - 14.0000","13.9100",
"12/22/2011","Call Rate","13.0000 - 152500","13.8700",
"12/22/2011","OBB Rate","13.7500 - 14.0000","13.8900",
"12/21/2011","Call Rate","13.0000 - 15.2500","14.3000",
"12/21/2011","OBB Rate","13.7500 - 14.0000","13.9700",
"12/20/2011","OBB Rate","13.7500 - 14.0000","13.7900",
"12/19/2011","Call Rate","14.0000 - 17.2500","16.2100",
"12/19/2011","OBB Rate","14.0000 - 14.5000","14.1000",
"12/16/2011","Call Rate","14.0000 - 17.0000","15.9200",
"12/16/2011","OBB Rate","14.0000 - 15.0000","14.2300",
"12/13/2011","Call Rate","13.0000 - 17.2500","15.1600",
"12/13/2011","OBB Rate","13.0000 - 14.0000","13.9200",
"12/12/2011","Call Rate","15.5000 - 17.7500","17.2900",
"12/12/2011","OBB Rate","14.0000 - 15.2500","14.6900",
"12/9/2011","Call Rate","16.0000 - 17.0000","16.7300",
"12/9/2011","OBB Rate","14.0000 - 14.7500","14.4500",
"12/8/2011","Call Rate","15.5000 - 16.7500","16.2000",
"12/8/2011","OBB Rate","14.0000 - 14.0000","14.0000",
"12/7/2011","Call Rate","14.0000 - 15.0000","15.8200",
"12/7/2011","OBB Rate","14.0000 - 15.5000","14.4900",
"12/6/2011","Call Rate","14.0000 - 16.0000","15.3900",
"12/6/2011","OBB Rate","14.0000 - 14.0000","14.0000",
"12/5/2011","Call Rate","14.0000 - 17.0000","15.39000",
"12/5/2011","OBB Rate","12.0000 - 16.0000","13.9300",
"12/2/2011","Call Rate","14.0000 - 19.7500","17.7000",
"12/2/2011","OBB Rate","13.0000 - 16.0000","14.3500",
"11/30/2011","Call Rate","14.5000 - 19.5000","18.1200",
"11/30/2011","OBB Rate","13.0000 - 14.0000","13.9700",
"11/29/2011","Call Rate","12.0000 - 18.0000","16.9300",
"11/29/2011","OBB Rate","14.0000 - 14.0000","14.0000",
"11/28/2011","7-Day","16.5000 - 16.5000","16.5000",
"11/28/2011","Call Rate","12.2500 - 17.5000","16.0300",
"11/28/2011","OBB Rate","13.0000 - 14.0000","13.7100",
"11/25/2011","Call Rate","13.0000 - 17.0000","15.3000",
"11/25/2011","OBB Rate","12.7500 - 14.0000","13.3900",
"11/24/2011","Call Rate","12.0000 - 17.5000","16.5100",
"11/24/2011","OBB Rate","13.6500 - 14.0000","13.9900",
"11/23/2011","7-Day","17.5000 - 17.5000","17.5000",
"11/23/2011","Call Rate","12.0000 - 17.5000","16.5000",
"11/22/2011","Call Rate","13.5000 - 18.0000","16.3400",
"11/21/2011","Call Rate","14.0000 - 17.7500","16.7200",
"11/21/2011","OBB Rate","14.0000 - 14.0000","14.0000",
"11/18/2011","Call Rate","14.0000 - 17.7500","17.1800",
"11/18/2011","OBB Rate","14.0000 - 14.0000","14.0000",
"11/17/2011","Call Rate","12.0000 - 17.5000","16.4600",
"11/17/2011","OBB Rate","14.0000 - 14.0000","14.0000",
"11/16/2011","Call Rate","14.0000 - 17.0000","15.8900",
"11/16/2011","OBB Rate","14.0000 - 14.0000","14.0000",
"11/15/2011","Call Rate","13.5000 - 15.0000","14.3000",
"11/15/2011","OBB Rate","13.0000 - 14.0000","13.2600",
"11/14/2011","Call Rate","12.5000 - 14.0000","13.4600",
"11/14/2011","OBB Rate","12.0000 - 13.8500","12.4500",
"11/11/2011","Call Rate","12.0000 - 13.7500","13.1600",
"11/11/2011","OBB Rate","12.0000 - 12.5000","12.1600",
"11/10/2011","Call Rate","11.5000 - 13.7500","13.2900",
"11/10/2011","OBB Rate","12.0000 - 13.0000","12.6000",
"11/9/2011","Call Rate","12.0000 - 14.5000","13.4300",
"11/9/2011","OBB Rate","12.0000 - 13.0000","12.2700",
"11/3/2011","Call Rate","13.0000 - 17.5000","15.2800",
"11/3/2011","OBB Rate","14.0000 - 15.0000","14.1100",
"11/2/2011","Call Rate","14.0000 - 18.0000%","16.9000%",
"11/2/2011","OBB Rate","13.7500 - 15.0000%","14.6900%",
"11/1/2011","Call Rate","14.0000 - 18.0000%","16.1900%",
"11/1/2011","OBB Rate","14.0000 - 15.5000%","14.2800%",
"10/31/2011","Call Rate","14.0000 - 18.0000%","17.0900%",
"10/31/2011","OBB Rate","14.0000 - 14.0000%","14.0000%",
"10/28/2011","Call Rate","14.0000 - 17.0000%","15.4400%",
"10/28/2011","OBB Rate","14.0000 - 14.0000%","14.0000%",
"10/27/2011","Call Rate","14.0000 - 18.0000%","15.1100%",
"10/27/2011","OBB Rate","13.5000 - 14.0000%","13.8700%",
"10/25/2011","Call Rate","13.0000 - 16.5000","14.5500",
"10/25/2011","OBB Rate","13.0000 - 14.0000","13.5500",
"10/24/2011","Call Rate","13.5000 - 17.2500","14.2200",
"10/24/2011","OBB Rate","13.0000 - 14.0000","13.4200",
"10/21/2011","Call Rate","13.5000 - 17.0000","14.6200",
"10/21/2011","OBB Rate","14.0000 - 14.0000","14.0000",
"10/20/2011","7-Day","15.5000 - 15.5000 ","15.5000",
"10/20/2011","Call Rate","13.000 - 15.2500","14.2500",
"10/20/2011","OBB Rate","13.0000 - 14.0000","13.6400",
"10/19/2011","Call Rate","14.0000 - 16.0000","14.9200",
"10/19/2011","OBB Rate","14.0000 - 14.0000","14.0000",
"10/18/2011","Call Rate","13.0000 - 16.0000","13.6900",
"10/18/2011","OBB Rate","12.0000 - 14.0000","13.5700",
"10/17/2011","60-Day","14.4500 - 14.4500","14.4500",
"10/17/2011","Call Rate","10.0000 - 15.5000","11.9300",
"10/17/2011","OBB Rate","12.0000 - 14.0000","12.8000",
"10/14/2011","Call Rate","11.0000 - 20.0000","14.7700",
"10/14/2011","OBB Rate","12.0000 - 14.0000","13.0400",
"10/13/2011","Call Rate","17.7500 - 18.5000","18.0600",
"10/13/2011","OBB Rate","10.5000 - 14.0000","13.8400",
"10/12/2011","Call Rate","14.0000 - 17.2500","16.4000",
"10/12/2011","OBB Rate","14.0000 - 14.0000","14.0000",
"10/11/2011","Call Rate","14.0000 - 16.0000","15.4200",
"10/11/2011","OBB Rate","11.0000 - 11.2500","14.0000",
"10/10/2011","Call Rate","11.0000 - 11.7500","11.3500",
"10/10/2011","OBB Rate","11.0000 - 11.2500","11.2000",
"10/7/2011","Call Rate","11.0000 - 11.7500","11.5800",
"10/7/2011","OBB Rate","10.5000 - 11.2500","11.0900",
"10/6/2011","Call Rate","11.0000 - 11.5000","11.3500",
"10/6/2011","OBB Rate","10.9500 - 11.2500","11.0800",
"10/4/2011","30-Day","12.2500 - 12.2500","12.2500",
"10/4/2011","60-Day","11.0000 - 11.0000","11.0000",
"10/4/2011","Call Rate","9.2500 - 11.5000","11.2500",
"10/4/2011","OBB Rate","11.2500 - 11.2500","11.2500",
"9/30/2011","Call Rate","10.0000-11.5000","11.3500",
"9/30/2011","OBB Rate","11.0000-11.2500","11.0600",
"9/29/2011","Call Rate","10.0000-11.7500","11.1300",
"9/29/2011","OBB Rate","11.0000-11.0000","11.0000",
"9/28/2011","OBB Rate","10.5000 - 11.2500","11.2400",
"9/27/2011","Call Rate","10.0000 - 11.5000","10.9200",
"9/27/2011","OBB Rate","10.0000 - 10.2500","10.1300",
